candidato,intencao_voto_pct,rejeicao_pct,desvio_padrao_pct,instituto,data
Lula,45.0,54.0,2.0,Quaest,2026-01-14
Flávio Bolsonaro,38.0,55.0,2.0,Quaest,2026-01-14
Lula,49.0,49.7,1.0,AtlasIntel,2026-01-20
Flávio Bolsonaro,45.0,47.4,1.0,AtlasIntel,2026-01-20
Lula,44.8,0.0,2.8,Paraná Pesquisas,2026-01-28
Flávio Bolsonaro,42.2,0.0,2.8,Paraná Pesquisas,2026-01-28
Lula,43.0,54.0,2.0,Quaest,2026-02-10
Flávio Bolsonaro,38.0,55.0,2.0,Quaest,2026-02-10
Lula,46.2,48.2,1.0,AtlasIntel,2026-02-24
Flávio Bolsonaro,46.3,46.4,1.0,AtlasIntel,2026-02-24
Lula,43.8,0.0,2.2,Paraná Pesquisas,2026-02-26
Flávio Bolsonaro,44.4,0.0,2.2,Paraná Pesquisas,2026-02-26
Lula,42.0,47.0,2.0,Real Time Big Data,2026-03-02
Flávio Bolsonaro,41.0,47.0,2.0,Real Time Big Data,2026-03-02
Lula,46.0,46.0,2.0,Datafolha,2026-03-07
Flávio Bolsonaro,43.0,45.0,2.0,Datafolha,2026-03-07
